tweet_id,favorites,retweet_count
826240494070030336,13333,2620
826204788643753985,4898,927
826115272272650244,15694,3126
825876512159186944,10517,1876
825829644528148480,12778,2498
825535076884762624,57057,17613
825147591692263424,18350,4564
825120256414846976,0,1261
825026590719483904,6330,1261
824796380199809024,0,5511
824775126675836928,14960,3529
824663926340194305,10569,1781
824325613288833024,11886,10564
824297048279236611,15113,3878
824025158776213504,4850,603
823939628516474880,10671,2719
823719002937630720,0,11248
823699002998870016,14040,2537
823581115634085888,13091,2633
823333489516937216,703,25
823322678127919110,15806,4042
823269594223824897,0,9938
822975315408461824,17404,3467
822872901745569793,132251,43466
822859134160621569,13331,2288
822647212903690241,0,6441
822610361945911296,14898,2975
822489057087389700,18266,6441
822462944365645825,28174,14388
822244816520155136,35132,9938
822163064745328640,0,4798
821886076407029760,11380,2324
821813639212650496,0,3378
821765923262631936,8459,1670
821522889702862852,8073,1771
821421320206483457,0,5621
821407182352777218,11845,4362
821153421864615936,257,10
821149554670182400,8693,1998
821107785811234820,9661,2151
821044531881721856,12746,2299
820837357901512704,0,6778
820749716845686786,31756,9952
820690176645140481,12288,3253
820494788566847489,0,568
820446719150292993,0,2583
820314633777061888,3369,568
820078625395449857,19947,6334
820013781606658049,0,1182
819952236453363712,5366,1182
819924195358416896,12997,4917
819711362133872643,13456,3134
819588359383371776,9716,2004
819347104292290561,7270,1216
819238181065359361,2285,410
819227688460238848,23239,6778
819015337530290176,0,37153
819015331746349057,0,19101
819006400881917954,45635,19101
819004803107983360,87597,37153
818646164899774465,0,21173
818627210458333184,22590,7597
818614493328580609,9926,2585
818588835076603904,0,6199
818536468981415936,10998,2479
818307523543449600,0,8165
818259473185828864,11112,2286
818145370475810820,12369,2596
817908911860748288,4895,811
817827839487737858,52095,27312
817777686764523521,10838,2716
817536400337801217,11871,2992
817502432452313088,0,3422
817423860136083457,34126,14850
817415592588222464,5644,955
817181837579653120,0,8540
817171292965273600,8848,2042
817120970343411712,12337,2621
817056546584727552,8681,1657
816829038950027264,0,4758
816816676327063552,10104,2062
816697700272001025,9885,2216
816450570814898180,30701,8165
816336735214911488,8680,1960
816091915477250048,9021,2168
816062466425819140,0,1030
816014286006976512,0,5320
815990720817401858,4994,1030
815966073409433600,22634,8540
815745968457060357,0,4178
815736392542261248,9935,2284
815639385530101762,8318,1669
815390420867969024,10465,3839
814986499976527872,7738,1289
814638523311648768,11389,2727
814578408554463233,0,5907
814530161257443328,8728,1883
814153002265309185,29049,8776
813944609378369540,0,3222
813910438903693312,9397,1886
813812741911748608,36806,14145
813800681631023104,8401,1784
813217897535406080,18844,7377
813202720496779264,9337,1835
813187593374461952,20096,4413
813172488309972993,9374,1950
813157409116065792,7860,2235
813142292504645637,8573,2412
813130366689148928,4520,453
813127251579564032,11973,3172
813112105746448384,10417,2778
813096984823349248,10690,3668
813081950185472002,10003,2814
813066809284972545,8045,1979
813051746834595840,21221,7457
812781120811126785,7660,1927
812709060537683968,6689,1448
812503143955202048,6152,1236
812466873996607488,8058,1956
812372279581671427,13808,3706
811985624773361665,7349,1421
811744202451197953,7635,1621
811647686436880384,5678,752
811627233043480576,12918,3121
811386762094317568,21171,6469
810984652412424192,5403,1458
810896069567610880,9124,1796
810657578271330305,11107,2684
810284430598270976,35689,11452
810254108431155201,14888,3422
809920764300447744,15735,3996
809808892968534016,0,4959
809448704142938112,7026,1485
809220051211603969,20180,5681
809084759137812480,13415,3575
808838249661788160,10251,3085
808733504066486276,8006,2193
808501579447930884,11458,2639
808344865868283904,43112,21173
808134635716833280,0,6024
808106460588765185,8907,2234
808001312164028416,12693,3591
807621403335917568,14778,3674
807106840509214720,119818,56196
807059379405148160,0,7461
807010152071229440,13257,3921
806629075125202948,75703,35138
806620845233815552,0,5616
806576416489959424,4956,1974
806542213899489280,10357,2390
806242860592926720,0,11807
806219024703037440,6521,1213
805958939288408065,0,5449
805932879469572096,8384,1951
805826884734976000,6653,1859
805823200554876929,0,8147
805520635690676224,5832,1680
805487436403003392,8908,2557
805207613751304193,7938,1745
804738756058218496,13885,3868
804475857670639616,6222,2039
804413760345620481,0,3281
804026241225523202,45076,16401
803773340896923648,10192,2784
803692223237865472,0,7545
803638050916102144,11092,4202
803380650405482500,7881,1894
803321560782307329,0,5407
803276597545603072,10169,2492
802952499103731712,9142,2038
802624713319034886,0,2958
802600418706604034,7202,1490
802572683846291456,9056,2549
802323869084381190,16443,5921
802265048156610565,6859,1399
802239329049477120,9204,2664
802185808107208704,0,277
801958328846974976,7862,1742
801854953262350336,1806,240
801538201127157760,8343,2103
801285448605831168,6140,835
801167903437357056,24790,6024
801127390143516673,0,4007
801115127852503040,8188,2131
800859414831898624,695,98
800855607700029440,0,1635
800751577355128832,10714,2839
800513324630806528,13303,3035
800459316964663297,9644,2202
800443802682937345,0,4386
800388270626521089,11300,2852
800188575492947969,0,4008
800141422401830912,15493,2583
800018252395122689,28766,13370
799774291445383169,0,4764
799757965289017345,8517,2202
799422933579902976,8177,1957
799308762079035393,0,5552
799297110730567681,10034,2803
799063482566066176,8181,2503
798933969379225600,13277,4535
798925684722855936,7609,1466
798705661114773508,0,6750
798701998996647937,0,7912
798697898615730177,0,6627
798694562394996736,0,5043
798686750113755136,0,2372
798682547630837760,0,4792
798673117451325440,0,5632
798665375516884993,0,3975
798644042770751489,0,1882
798628517273620480,0,2009
798585098161549313,0,5797
798576900688019456,0,5939
798340744599797760,0,3398
798209839306514432,10564,2607
797971864723324932,11758,3160
797545162159308800,14750,4947
797236660651966464,20239,6688
797165961484890113,227,26
796904159865868288,0,9075
796865951799083009,7805,1952
796759840936919040,12001,3077
796563435802726400,0,7391
796484825502875648,7679,1785
796387464403357696,11153,4214
796177847564038144,0,14479
796149749086875649,32687,14479
796125600683540480,5030,1835
796116448414461957,9224,2454
796080075804475393,8583,2346
796031486298386433,10954,3766
795464331001561088,50275,23996
795400264262053889,10213,2921
795076730285391872,16420,5511
794983741416415232,0,3424
794926597468000259,10377,2337
794355576146903043,0,10460
794332329137291264,9712,2724
794205286408003585,9350,3376
793962221541933056,17050,4959
793845145112371200,9353,1897
793614319594401792,0,3183
793601777308463104,8098,1649
793500921481273345,10814,2414
793286476301799424,24919,9300
793271401113350145,8822,2428
793256262322548741,20240,8469
793241302385262592,10655,3350
793226087023144960,9973,2916
793210959003287553,9054,2838
793195938047070209,15498,5714
793180763617361921,7034,2031
793165685325201412,9539,2832
793150605191548928,6261,1724
793135492858580992,6518,2537
793120401413079041,12834,3978
792913359805018113,14533,4041
792883833364439040,11464,4336
792773781206999040,7456,1701
792394556390137856,13633,4355
792050063153438720,7247,1828
791821351946420224,0,21406
791784077045166082,0,9728
791780927877898241,0,3878
791774931465953280,45732,22507
791672322847637504,11910,3183
791406955684368384,13322,4178
791312159183634433,8914,2573
791026214425268224,0,4166
790987426131050500,9960,2168
790946055508652032,16873,4758
790723298204217344,0,2345
790698755171364864,8329,1954
790581949425475584,20930,7254
790337589677002753,7933,1910
790277117346975746,12739,3222
790227638568808452,0,3621
789986466051088384,9389,2345
789960241177853952,0,4179
789903600034189313,10482,4195
789628658055020548,7593,1793
789599242079838210,6865,1955
789530877013393408,11877,3424
789314372632018944,8764,2323
789280767834746880,0,5014
789268448748703744,9225,2640
789137962068021249,9846,2834
788908386943430656,27784,12647
788765914992902144,27679,10460
788552643979468800,0,7275
788412144018661376,15747,5337
788178268662984705,7318,2124
788150585577050112,6201,1305
788070120937619456,0,3474
788039637453406209,6205,1340
787810552592695296,8736,3091
787717603741622272,10394,2813
787397959788929025,11034,2880
787322443945877504,7880,1763
787111942498508800,0,6842
786963064373534720,26950,8077
786729988674449408,0,2452
786709082849828864,18452,6194
